team_id,overall,power,tier,week
1,1,1,1,1
3,7,7,2,1
5,12,12,5,1
6,4,4,1,1
7,3,3,1,1
8,5,5,1,1
9,8,8,3,1
11,10,10,4,1
12,9,9,3,1
13,6,6,1,1
14,11,11,5,1
15,2,2,1,1
1,6,6,1,2
3,9,12,3,2
5,11,10,3,2
6,5,5,1,2
7,4,4,1,2
8,2,2,1,2
9,12,11,3,2
11,7,8,2,2
12,10,9,3,2
13,3,3,1,2
14,8,7,2,2
15,1,1,1,2
1,4,3,2,3
3,7,7,3,3
5,11,11,4,3
6,6,6,2,3
7,5,5,2,3
8,1,1,1,3
9,12,12,4,3
11,10,10,3,3
12,9,9,3,3
13,2,2,1,3
14,8,8,3,3
15,3,4,2,3
1,1,1,1,4
3,6,7,2,4
5,12,12,5,4
6,9,9,3,4
7,2,2,1,4
8,3,3,1,4
9,11,11,4,4
11,10,10,3,4
12,7,5,2,4
13,4,6,2,4
14,8,8,2,4
15,5,4,2,4
1,3,2,1,5
3,8,10,2,5
5,12,12,4,5
6,6,7,2,5
7,1,1,1,5
8,4,5,1,5
9,11,11,3,5
11,9,8,2,5
12,10,9,2,5
13,2,4,1,5
14,5,3,1,5
15,7,6,2,5
1,4,5,3,6
3,10,11,5,6
5,12,12,5,6
6,7,9,4,6
7,1,1,1,6
8,3,2,2,6
9,9,8,4,6
11,11,10,4,6
12,8,4,3,6
13,2,3,2,6
14,6,7,3,6
15,5,6,3,6
1,4,3,3,7
3,8,10,4,7
5,12,12,5,7
6,5,8,4,7
7,1,1,1,7
8,2,2,2,7
9,11,11,5,7
11,10,7,4,7
12,9,6,4,7
13,3,4,3,7
14,6,9,4,7
15,7,5,4,7
